# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one of two things, and neither is ever merged with the other:
#
#   * ONE VERB ENTRY some stories declare — the spellings a game's own author
#     wrote on a single verb, which is that author saying these words are one
#     action.  Believed only where several stories agree, and greppable in
#     crates/verb-synonyms-gen/if_groups.tsv, which is where a row's provenance
#     can be looked up: this file is members and nothing else.
#   * ONE WORDNET SYNSET, filtered to words a player might type, plus — where a
#     synset no story could match has a hypernym that one can — that synset
#     unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# WHERE THE TWO DISAGREE, THE GAMES WIN.  A game-derived group comes before
# every synset containing the same word, because a game author writing
# `Verb 'examine' 'x' 'inspect'` has stated what a word means IN A PARSER, and
# that is the only question this table asks.  WordNet is not overruled, only
# outranked: its groups still follow, and reach a story that implements a word
# no game in the corpus grouped.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear best-guess first: that word's game-derived groups, then its
# synsets in WordNet's own sense order, commonest sense first.  A consumer can
# therefore walk them and stop after three or four dictionary matches.  Sorting
# the file alphabetically destroys that signal silently.  Member order within a
# line is significant too: verbs the corpus actually uses come first, commonest
# first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
#             game-support 2 game-group-cap 13
# From 15454 harvested IF spellings, 2467 of which WordNet knows as verbs.
# 3467 groups, 12298 memberships.
accuse	impeach	incriminate
admire	look up to
jerk	twitch
yawn	gape
yell	scream	shout
yell	scream	shout	howl
yell	scream	roar	growl
roar	thunder
say	talk	ask	yell
ask	inquire	enquire
say	speak	talk	call	utter
call	summon
say	speak	talk	utter	proclaim	maybe
scream	yell	shout	howl	cry
howl	wail	ululate	roar
howl	yowl
roar	bellow
wail	whimper	mewl
yelp	yip	yap
yodel	warble
zap	vaporize
zap	microwave	nuke
zero	zero in
zip	zip up	zipper
abandon	desert	desolate	forsake
abide	bide	stay
accept	acknowledge	recognize
know	realize	recognize
know	get the hang	master
see	perceive	realize	understand
see	appreciate	realize	take account	understand
accept	adopt	espouse
accept	receive
welcome	receive
accept	consent	allow	countenance	go for	permit
accept	abide by	honor	respect
accompany	play along
accompany	companion	company	keep company
accost	solicit
act	behave	do
act	act as
act	criticize
act	pretend	assume	sham	simulate
add	modify	qualify
change	alter	modify
change	alter	narrow	narrow down	specialize	vary
add	include
add	string	string up
add	compound
add	button
add	append	supply
address	accost	come up to	recognize
greet	receive	recognize
address	direct	instrument
adjust	align	line up	true	true up
adjust	adapt	conform	square
advance	bring forward	nose
call up	bring forward
advise	counsel	exhort	urge	urge on
advise	advocate	propose	recommend	suggest	urge
hint	suggest
affirm	support	confirm	corroborate	demonstrate	establish	prove	substantiate	sustain
lay down	establish
manifest	attest	certify	demonstrate	evidence
affirm	support	confirm	corroborate	document	substantiate	sustain
support	subscribe
affirm	confirm	reassert
affirm	maintain
agree	fit in	harmonize	accord	blend	blend in	consort	go
fit	go	joint
mix in	blend in
aid	help	assist	alleviate	ease	facilitate
help	aid	benefit	do good
help	help oneself
aim	propose	purport	purpose
aim	direct	calculate
air	vent	air out	ventilate
vent	give vent	ventilate
air	bare	bring out	issue	publicize	publish
air	bare	circulate	disseminate	distribute	pass around	propagate	publicize
circle	circulate
circle	encircle
alter	neuter
alter	falsify
angle	slant	weight
animate	encourage	enliven	exalt	inspire	invigorate
annoy	irritate	bother	get to	chafe	devil	get at	gravel	nettle	rag	rile	vex
answer	resolve
answer for	account
apologise	apologize	excuse	justify	rationalize
defend	support	fend for	justify	rationalize
excuse	beg off
excuse	condone
support	keep going	patronage	patronize
apply	go for
apply	lend oneself
approach	confront	go about	set about
approach	come on	come near	crowd	draw close	draw near	go up	near
approach	border on
argue	reason
argue	indicate
indicate	suggest
argue	fence	contend	debate	dispute	quarrel
argue	fence	contend	debate	oppose
arise	come up	bob up
arm	build up	fortify
arouse	brace	stimulate	energize	perk up
arouse	invoke	bring up	stir	call down	call forth	conjure	conjure up	evoke	put forward
invoke	appeal
call for	request	appeal	quest
arrange	stage	phase
arrange	format
arrest	turn back	hold back	contain
defend	contain
arrest	halt
ascend	go up
ask	require	expect
command	require	burden
demand	expect
assemble	gather	get together
pull	gather
pull	commit	perpetrate
commit	consecrate	dedicate	devote
use	employ	utilise	utilize	apply	consecrate	dedicate	devote
attach	adhere	bond	hold fast
attach to	come with	accompany	go with	rule
attack	assault	assail	lash out	abuse	round	snipe
attack	assault	assail	set on
attack	assail	pelt	pepper
attack	assail	gas
attack	assail	storm
attack	assail	invade	occupy
attack	assail	beleaguer	besiege	circumvent	hem in	surround
attack	assail	bomb	bombard
fence	fence in	surround	wall
attempt	undertake	set about
attend	assist	attend to	serve	wait on
service	serve
attract	appeal	beguile	bewitch	captivate	charm	enamor	entrance	fascinate
avoid	miss
avoid	head off	avert	deflect	fend off	obviate	stave off	ward off
keep off	avoid
keep off	stay off
avoid	annul	invalidate	nullify	quash	void
back	back up
back	support	endorse	guarantee	plump for	plunk for	warrant
back	punt	stake	bet on	game
back	support	champion	endorse	plump for	plunk for
back	second	endorse
back up	choke	clog	choke off	clog up	congest	foul
clog	clot
clog	overload
defile	foul
bandage	bind
tie up	bind	tie down	truss
tie up	moor	berth
moor	berth	wharf
tie up	bind off
bang up	impregnate	knock up
banish	bar	relegate
bar	exclude
bark	skin
peel	skin	pare
peel	peel off	flake	flake off
trim	pare
undress	strip	disrobe	peel	strip down
strip	leach
strip	bare
strip	ransack	foray	loot	pillage	plunder	rifle
ransack	comb
comb	comb out	disentangle
undress	strip	divest
baste	tack
hang on	append	tack	tack on	tag on
hold on	hang on	hang in	persevere	persist
hold on	hang on	hold the line
be	exist	was
be	live	was
know	live	experience
be	occupy
be	consist	dwell	exist
live	dwell	inhabit	neighbor	populate
live	dwell	inhabit	lodge in	occupy	populate	reside
live	camp	camp out	dwell	inhabit	populate	tent
repose	reside
recline	repose
be	equal	was
be	correspond	equal	represent	stand for
be	belong	go
compare	go
compare	equate	liken
be	exist	flow
be	distribute	exist
beat	beat up	work over
beat up	drum up	rally
beat	deck	floor
beat	scramble	cream
beat	drum
become	occur
become	form	take form	take shape
become	develop	originate	spring up
become	suit
belch	erupt
believe	infer	understand
believe	rely
believe	trust
bend	turn away	deflect
distract	deflect
parry	deflect
bend	crook	curve	flex
bend	arc	arch	curve	flex
bend	double	double over	double up	flex
bestow	confer	graduate
bestow	lend	bring	add	contribute	factor	impart
kick in	chip in	contribute
kick down	kick in
lend	loan
bet	calculate	depend	reckon
bet	wager	play	bet on	game
betray	deceive	impersonate	lead astray	pose
betray	deceive	lead astray	lead by the nose	play false	snow
bite	prick	sting
prick	sting	twinge
prick	cock up	prick up
prick	goad
needle	goad
blackmail	blackjack	pressure
blast	shell
emerge	shell
blazon	emblazon
bleed	flow	hemorrhage	shed blood
bleed	leech
bless	consecrate	hallow	sanctify
blind	dim
block	jam
block	blockade	embarrass	hinder	obstruct	stymie
prevent	blockade	embarrass	forbid	foreclose	forestall	hinder	obstruct	preclude	stymie
blow	blow out	burn out
blow	boast	vaunt	bluster	brag	gas	shoot a line	tout
blow	shove off	shove along
blow	float	drift	be adrift	stream
pour	stream	swarm	teem
pour	pour out
pour	pelt	sheet	stream
blow	suck	go down on
blow	waste	squander
blow	screw up	fuck up	ball up	botch	botch up	bumble	bungle	fluff	foul up	fumble	louse up	mess up	mishandle	muck up	spoil
indulge	baby	coddle	pamper	spoil
mess	mess up
blow	storm
surprise	storm
blow up	enlarge	magnify
blow up	inflate	amplify	expand
blow up	embroider	dramatize	embellish	lard	pad
trudge	tramp	plod	slog	pad
slug	swig	slog
quaff	gulp	swig
slug	idle	stagnate
blow up	combust	blow a fuse	fly off the handle	go ballistic	have a fit	hit the ceiling	hit the roof	throw a fit
board	room
boast	feature	sport
cavort	gambol	frolic	run around	frisk	sport	lark	lark about	romp
book	reserve
book	fine	ticket
boost	advance	contribute	encourage	further	promote
pay	contribute
bother	inconvenience oneself	trouble	trouble oneself
bounce	bound	spring	rebound	recoil	reverberate	ricochet	take a hop
kick	kick back	recoil
bound	throttle	confine	gate	limit	restrain	restrict
bound	throttle	confine	harness	limit	rein	restrain	restrict	rule
strangle	throttle
bound	border
bow	give in	submit	accede	defer
bow	crouch	bend	stoop
brace	guy	stabilize	steady
brand	post
brand	trademark
brandish	wave	flourish
break	split up	come apart	fall apart	separate
break	bust
break	offend	breach	conflict	go against	infringe	violate
bust	raid
offend	shock	appall	outrage
open	open up	breach	gap
open up	pioneer
open	open up	establish	found
rape	ravish	assault	dishonor	outrage	violate
tear	snap	bust	rupture
bust	fall apart	wear out
break	crack
crack	break through
break through	come through
crack	snap
snap	click
click	tick
click	chatter
click	clack	cluck
break	freeze	interrupt
break	smash	ruin	bankrupt
break	split	part	split up	break up	disjoint	dissociate	divorce	separate
split	burst	break open
burst	erupt
break out	erupt
break down	die	give out	fail	give way	go bad
break down	take apart	dissect	analyse	analyze
break down	lose it
break down	crumple	collapse	crumble	tumble
crumble	fall apart
crumple	buckle
crumple	knit	pucker	rumple
get onto	catch on	cotton on	get it	get wise	latch on	tumble	twig
break off	cut off	chip
cut off	amputate
break off	chip	come off	break away	chip off
break off	snap off
chip	nick
break through	come out	push through	erupt
break up	dissolve	resolve
collapse	crack up	break up	crock up
melt	thaw	dissolve
melt	mellow	mellow out
melt	meld
melt	fade
break up	crash	break apart
cut off	break up	disrupt	interrupt
chop off	cut off
cut off	cut out
cut out	scratch out
breathe	inspire	take a breath
rest	breathe	take a breather
breathe out	exhale	expire
exhale	emanate	give forth
bring	land
bring	fetch	get	convey
bring	work	make for	wreak
work	crop	cultivate
bring	fetch	bring in
bring down	visit	impose	inflict
charge	bill	impose	levy
chat	chatter	gossip	visit	chew the fat	chitchat	jaw	shoot the breeze
chatter	clack
chew	masticate	jaw
bring down	overthrow	overturn	subvert
sabotage	counteract	subvert	undermine	weaken
bring to	bring back	bring around	bring round
bring up	boot	reboot
browse	surf
browse	crop	graze	range	pasture
build	build up	progress	work up
build	build up	ramp up	work up
build up	develop
build	establish
bullshit	bull	fake
burn	combust
burn	bite	sting
burn	fire	burn down
burn	glow
burn down	burn up	go up
burst	explode
burst	abound	bristle
bury	forget
forget	blank out	draw a blank
bury	sink
buy in	stock	stock up
sprout	stock
call	send for	cite	summons
call	name	refer
call	name	entitle	title
style	title
call	call in	visit
inspect	visit
inspect	audit	scrutinize
call for	request	quest	reserve
call for	request	claim	lay claim	quest
call for	invite
call up	mobilize	rally
calm	sedate
calm	steady
settle down	calm	calm down	chill out	cool it	cool off	simmer down
cool	cool down	cool off
cancel	invalidate
cancel	strike down
delete	cancel
care	worry	carefully
worry	vex
care	carefully	give care
care	fuss	give care	mother
wish	care	like	carefully
like	prefer
wish	wish well
wish	bid
greet	bid	recognize
entreat	bid	conjure
plead	bid	conjure
seek	bid
invite	bid
pay for	invite
invite	ask in
request	bid
search	look for	seek	gather
carry	convey	express
carry	shoulder	transport
carry	transmit	channel	conduct	convey	impart
carry	bear	behave	acquit	conduct	deport	pose	posture
put	place	lay	set	pose	position
carry on	proceed	continue	go on
carry on	act up
carry on	deal	conduct
carry on	preserve	continue	bear on	prolong	sustain	uphold
proceed	continue	go forward
carry out	put through	follow out	follow through	follow up	go through	implement
carry out	execute	accomplish	action	carry through	fulfill
catch	get	capture
catch	hitch
hitch	hobble	limp
catch	capture	bag
stick out	bag	bulge	jut	jut out	project	protrude
jump	jump out	leap out	stick out	stand out
jump	leap	jump off
jump	skip	skip over	pass over
leap out	burst forth	rush out
explode	break loose	burst forth
escape	get away	break loose
move through	pass across	pass over	pass through	transit
pocket	bag
skip	vamoose
skip	bound off
steal	bag
pack	bag
catch	capture	enchant	trance	beguile	bewitch	captivate	charm	enamor	entrance	fascinate
enchant	bewitch	jinx	witch
catch out	find out
caution	admonish
celebrate	fete	receive
challenge	dare	defy
challenge	appeal	take exception
challenge	action	litigate	process	sue
march	process
change	exchange	convert	commute
convert	convince	win over
switch	exchange	switch over
replace	exchange	interchange	substitute
change	exchange	interchange
stand in	fill in	sub	substitute
step in	substitute
trade	swap	switch
charge	saddle	burden	deluge	flood out	overwhelm
drown	submerge	drowned	overwhelm
submerge	deluge	inundate
charge	file	lodge
file	file away
charge	assess	bill
tear	charge	buck	shoot down
tear	pluck
pick	pluck	cull
pick	blame	find fault
pick	clean
clean	clean house
clean	cleanse
charge	appoint	assign	delegate	designate
chase	furrow
cheat	chisel	job
rip off	cheat	chisel
check	see	control	ascertain	assure	ensure	insure	proof	proofread	see to it
verify	ascertain	assure	ensure	insure	see to it
check	see	control	ascertain	assure	card	ensure	insure	see to it
check	look into	check out	check into	check over	check up on	go over
fall over	go over
run down	check out
run down	run over
run over	brim over	overflow	overrun	well over
spill over	bubble over	overflow
pour out	spill out	spill over
check	check off	mark	mark off	tick	tick off
check	fit	tally	match	agree	consist	correspond	gibe
check	fit	tally	match	agree	correspond	gibe	parallel	twin
check	fit	tally	match	agree	correspond	gibe	square
check	fit	tally	match	agree	correspond	gibe	pattern
paddle	feather	square
paddle	dabble	splash around
paddle	totter	waddle
paddle	spank
row	feather	square
scoff	flout	gibe	jeer
score	tally	rack up
cheer	cheers	exhort	inspire	pep up	root on	urge	urge on
inhale	breathe in	inspire
cheer	cheer up	cheers	jolly along	jolly up
cheer	cheers	embolden	hearten	recreate
choke	throttle
choose	opt	prefer
chuck	ditch
dump	ditch
ditch	trench
dump	plunge
pat	chuck
pat	dab
chuck out	eject	turn out	boot out	exclude	turf out
clap	applaud	acclaim	spat
clean up	tidy	tidy up	square away	straighten	straighten out
clear	pass	approve	authorize	sanction
okay	approve	confirm	sanction
clear	make	take in	pull in	earn	bring in	gain	profit	realize	turn a profit
earn	garner	letter
sell	realize
harmonize	realize
harmonize	proportion
harmonize	reconcile
harmonize	chord
clear	pass	authorize	declare
clear	pass	authorize	commission
clear	light up	clear up	brighten
clear out	clean out
clear up	enlighten	sort out	crystallize	elucidate	illuminate	shed light on	straighten out
clear up	clarify	dilate	elaborate	elucidate	enlarge	expand	expound	flesh out
cleave	adhere	cling
stand by	adhere	stick by
climax	crown	culminate	top
complete	finish	top	top off
complete	finish	follow out	follow through	follow up	go through	implement
complete	finish	accomplish	action	carry through	fulfill
complete	dispatch	discharge
climb	rise	go up
come	come up	come near	draw close	draw near	go up	near
rise	arise	get up	stand up
stand up	place upright
stand	stand up
stand	remain firm
climb	mount	rise	wax	gain
full	wax
increase	gain	gather
climb	sputter	struggle
spit out	sputter
spit	spit out
spit out	cough out	cough up	spit up
climb	mount	climb up	go up
climb up	ascend
climb down	alight
clip	curtail	cut short
clip	snip	nip	nip off	snip off
close	fold	close up	shut down	close down
fold	pen up
close	conclude
close up	jam	impede	obstruct
shut up	close up	be quiet	belt up	button up	clam up	dummy up	keep mum
shut up	put away	lock up	lock away	lock in	shut away
coat	cake
coat	surface
turn up	come out	come on	surface	show up
fold	turn up	fold up
collapse	fall in	cave in	founder	give way
trip	founder	stumble
trip	trip up
trip	travel	jaunt	journey
set off	activate	trip	spark	spark off	touch off	trigger	trigger off
travel	cruise	journey
trip up	slip up	stumble
collect	pull together	club	garner	gather
collect	pull together	garner	gather	nut
color	colour	blanch	discolor	pale
color	colour	discolor	silver
color	colour	brown	color in
color	colour	color in	silver
color	colour	color in	gray
color	colour	discolor	gray
color	colour	discolor	yellow
color	colour	discolor	tone
color	colour	color in	tone
color	colour	discolor	green
color	colour	blue	discolor
color	colour	distort	tinge
color	colour	emblazon
color	colour	gloss
combine	compound	incorporate	integrate
combine	aggregate
mix	combine	blend	coalesce	conflate	flux	fuse	meld	merge
mix	integrate
mix	mix in
mix	compound	mingle	unify
combine	unite
come	number	total	add up	amount	average	average out
come after	succeed
come down	contract	sicken
come down	reduce	boil down
scale down	reduce
come off	go off	go over
come on	come up	go on
come up	get hold	line up
queue	line up	queue up
come out	appear
do	perform	execute	appear
come out	emerge	come forth	go forth	issue
come out	fall out
come out	turn out
come over	come across
come through	get through
come through	make it	survive	pull round	pull through
comfort	console	soothe	calm down	lull	solace	still
comfort	console	soothe	allay	ease	solace	still
command	control	guide	maneuver
command	control	handle	manage
command	control	corner
tree	corner
command	control	dominate	master
command	control	charm
command	control	govern	rule
command	dominate	overlook
lie	dominate	overlook
lie	sun	sunbathe
expose	sun
lie	lie in	consist	dwell
lie	rest
rest	stay	remain
stick	stay	stick around	stay put
stick	stick to	bind	adhere	bond	hold fast
stick to	stick with
comment	annotate	gloss
commit	trust	confide	entrust
commit	practice
pursue	engage	practice	prosecute
compile	compose
complete	nail
compress	compact	pack together
confuse	obscure	blur
smear	blur	smudge
smear	blood
smear	denigrate	slander	sully
confuse	jumble	mix up
stump	mix up
stamp	stomp	stump
stamp	frank	postmark
stamp	meter
stamp	stereotype
confuse	disconcert	flurry	put off
upset	disconcert	embarrass
connect	link	tie in	associate	identify	link up	relate
connect	link	tie in	associate	have in mind	link up	mean	relate
connect	tie	link	ground	link up
tie	attach	bind	bond
connect	join	link	link up	unite
link	yoke
construct	retrace	reconstruct
rebuild	reconstruct
restore	reconstruct
construct	fabricate	manufacture
consult	confer
consume	waste	squander	ware
continue	persist in
stay	continue	stay on	remain
control	handle	keep in line	manipulate
verify	control
verify	affirm	swear	swan	assert	avow	claim
converse	contend	debate	discourse
convert	change over
cook	brown
cook	cooked	fake	falsify	fudge	manipulate	misrepresent
copulate	breed	couple	mate	pair
match	couple	mate	pair	twin
match	equal	rival
correct	right	rectify
correct	castigate	chastise
correct	decline	slump
descend	fall	come down	decline	go down	slump
descend	derive
descend	condescend
fall	come down	precipitate	rain	rain down
fall	come down	precipitate	snow
stoop	condescend	lower oneself
correct	right	compensate	redress
correct	sort out	discipline
costume	dress up
count	enumerate	number
keep down	number
count	consider	weigh
count	weigh	matter
count on	allow	calculate	estimate	figure	forecast	reckon	take into account
counter	anticipate	foresee	forestall
cover	deal	address	handle	plow	treat
touch	handle	palm
cover	spread over	grass	grass over
cover	spread over	cake
cover	spread over	overwhelm
crop	graze	grass	pasture
cover	embrace	comprehend	encompass
hug	embrace	bosom
cover	extend	continue	ridge
crawl in	turn in	retire	bed	go to bed	go to sleep	hit the hay	hit the sack	sack out
crease	furrow	wrinkle
crease	scrunch	crinkle	crisp	scrunch up	wrinkle
toast	crisp
credit	accredit
credit	finance
cross	baffle	disappoint	foil	frustrate	let down	queer	scotch	spoil	thwart
prevent	baffle	foil	forbid	foreclose	forestall	frustrate	preclude	queer	scotch	spoil	thwart
cross	intersect
cross	traverse	cover	cut through	get over	get across	track	course	cut across	pass over
cross	traverse	sweep	span
get over	bounce back	get well
wipe	pass over
crumble	decay	weather
crumple	crease	crinkle	rumple	wrinkle
crunch	grind	mash
crush	beat	vanquish	beat out	eliminate	shell
crush	beat	vanquish	beat out	get the best	have the best	overcome	shell
crush	beat	vanquish	beat out	master	overcome	shell	subdue	surmount
scale	surmount
tame	subdue
crush	beat	vanquish	beat out	best	outdo	shell	trump
crush	beat	vanquish	beat out	overpower	overwhelm	shell
sweep over	overcome	overpower	overtake	overwhelm
crush	beat	vanquish	beat out	cream	shell	thrash
smash	demolish	crush
smash	bang up	smash up
tap out	beat out	thump out
crush	jam
crush	oppress	suppress
crush out	press out	extinguish	stub out
cry	weep
curtsy	bob
cut	reduce	shorten	abbreviate	concentrate	condense	contract	digest
thin	reduce	dilute	thin out
thin	reduce	lose weight	melt off	slim	slim down
cut	trim	cut down	bring down	reduce	cut back	trim back	trim down
cut	curve	sheer	slew	swerve	trend	veer
cut	hack
hack	hack on
slash	cut down
lash	strap	slash	whip	lather	flog	welt
lather	soap
slash	gash
whip	mop up	rack up	worst
polish off	wrap up	clear up	mop up	get through	finish off	finish up
get through	while away
whip	whisk
whip	blister	scald
wind up	finish	end up	fetch up	finish up	land up
cut	prune	rationalize
cut down	cut out
cut down	mow
cut down	fell	strike down
cut up	mutilate	mangle
dampen	moisten
moisten	drizzle
dampen	stifle
dampen	muffle	damp	dull	mute	tone down
date	go out	go steady
deal	share	portion out
deal	care	carefully	handle	manage
deal	care	handle	manage	process
deal	care	conduct	handle	manage
debark	disembark	set down
decimate	carry off	wipe out	annihilate	eliminate	eradicate	extinguish
sweep away	wipe out
erase	wipe out
erase	wipe off	rub out	score out
erase	delete
delete	edit
sweep off	sweep away
uproot	eradicate	exterminate	root out
wipe out	obliterate
hide	obscure	blot out	obliterate	veil
wipe out	cancel out
decrease	circumscribe	confine	lessen	limit
decrease	abbreviate	contract	lessen
defend	guard
defend	champion
defend	represent
define	delineate	determine	specify
outline	delineate
deliver	have	bear	birth	give birth	twin
deliver	have	bear	birth	expect	give birth	have a bun in the oven
deliver	process	swear out
deliver	turn in	hand over	fork out	fork over	fork up	render
rescue	deliver
deliver	deport	extradite
depart	go	go away
depart	deviate	diverge	vary
motley	variegate	vary
depart	sidetrack	straggle
deposit	posit	situate
describe	name	key	distinguish	identify	key out
list	name
diagnose	name
list	index
describe	report	account
trace	describe	draw	line	delineate
trace	retrace
describe	draw	depict	represent
design	plan	engineer
design	plan	concert	contrive	project
plan	project	propose
design	plan	blueprint	draft
desire	want	miss
desire	trust	hope
escape	miss
hope	go for
desire	want	wanted
destroy	do away with	eliminate	extinguish	get rid of
destroy	ruin
destroy	demolish
devour	pig	raven
devour	consume	down	go through
diffuse	penetrate	riddle	imbue	permeate	pervade
dig	grasp	apprehend	compass	comprehend	figure	get the picture	savvy
dig	delve	turn over	cut into
turn over	flip over
turn over	consider	debate	deliberate	moot
discuss	debate	deliberate	hash out	moot	talk over
dig	excavate	hollow
dig	dig up	dig out
dig	grind	fag	labor	toil	travail
dig into	poke into	probe
dig up	turn up	excavate
dip	dunk	douse	souse	plunge
dip	dim
souse	hit it up
disagree	differ	dissent	take issue
disagree	discord
disarray	disorder
discharge	acquit	exonerate
discover	attain	chance on	chance upon	come across	come upon	fall upon	happen upon	light upon
discuss	chair	hash out	moderate	talk over
discuss	counsel	hash out	talk over
dislocate	slip	splay
dismiss	dissolve
dismiss	usher out
dispel	break up	disperse	dissipate	scatter
dispense	deal	administer	distribute	allot	deal out	dish out	dole out	lot	mete out	parcel out	shell out
sell	deal	trade	market
disperse	spread	broadcast	diffuse	distribute	circulate	disseminate	pass around	propagate
spread	circulate	go around
rotate	revolve	go around	wheel	wheel around
revolve	orb	orbit
disperse	spread out	dissipate	scatter
dust	sprinkle	disperse	dot	scatter
fool	dissipate	fool away	fritter	fritter away
spread	spread out	distribute	scatter
spread out	expand
rotate	turn out	spread out	splay
sprinkle	splash	salt
turn off	switch off	turn out
turn off	put off
display	exhibit	expose	bring forth	produce
display	exhibit	expose	bench
display	exhibit	expose	model	pose	posture
show	present	exhibit	demo	demonstrate
uncover	expose
distract	disorder	disquiet	perturb	trouble	unhinge
distrust	mistrust	suspect
disturb	interrupt
disturb	agitate	raise up	shake up	stir up	vex
shake up	fluff up	plump up
disturb	upset	disorder	disquiet	perturb	trouble	unhinge
divert	route
divert	amuse
divert	hive off
divide	partition	separate	zone
divide	fraction	quarter
do	perform	execute	practice	rehearse
do	perform	execute	conduct
perform	church
do	exercise	practice
dock	bob	tail
douse	duck
down	shoot down
kill	defeat	shoot down	vote down	vote out
kill	stamp out
negative	defeat	shoot down	veto	vote down	vote out
drape	cloak	clothe	robe
draw	thread	string	wire
draw	rule
draw	project
draw up	compose	frame
plan	compose	frame
make	build	construct	frame	frame up
plan	scheme
pull up	draw up	haul up
pull up	draw up	straighten up
dress	do	arrange
dress	plume	preen
dress	dress out
dress	trim	garnish
dress	dress up
dress	groom	curry
dress	apparel	clothe	fit out	garb	garment	jacket
dress	apparel	clothe	fit out	garb	garment	shirt
dress	apparel	clothe	fit out	garb	garment	habit
dress	get dressed	assume
drift	err	stray
drift	freewheel
drill	exercise	practice
drill in	hammer in	beat in	ram down
drink	drink in
drink	imbibe
drink	booze	tank
drink	booze	wine
drink	salute	toast	pledge
drive	push back	repel	beat back	force back	repulse
drive	force	ram
ram	crash
drive	motor
drive	coach
drive	tool
drive away	drive out	run off	turn back	dispel	drive off	chase away
run off	elope
run off	waste
knock off	waste	do in	liquidate	neutralize
pay off	liquidate
pay off	redeem
run off	photocopy
drive out	clear out
drop	drop down	sink	droop	flag	sag
drop	decline
drop	spend	expend	invest
drop off	fall back	fall behind	recede
drug	base
duck	dodge	parry	circumvent	elude	evade	fudge	hedge	put off	sidestep	skirt
duplicate	parallel	twin
eat	corrode	rust
eat	piece
eat	lunch
eat	breakfast
patch	piece
eat	feed
eat	eat on
eat	consume	run through	wipe out	deplete	eat up	exhaust	play out	sap	tire	use up
take	occupy	use up
echo	repeat
ring	echo	resound	reverberate
make noise	noise	resound
phone	call	telephone	ring	call up
ring	border	skirt	surround
yell	scream	shout	cry	holler	call	shout out	pipe	pipe up	shrill	squall
holler	bitch	squawk	beef	crab	gripe	grouse
shout	cry	call out	cry out	exclaim	ooh	outcry
proclaim	declare	exclaim	promulgate
proclaim	predicate
proclaim	exalt	extol	glorify	laud
embark	ship
embark	venture
embrace	sweep up	adopt	espouse
employ	engage	contract	hire	sign up
employ	engage	farm out	hire	job	subcontract
engage	plight
empty	evacuate	void
empty	discharge
empty	abandon	vacate
enable	empower	endow	gift	invest
end	terminate	interrupt
end	terminate	adjudicate	decide	resolve
engage	absorb	engross	involve	occupy
engulf	soak up	absorb	engross	immerse	plunge	steep
enjoy	delight	revel
make happy	make merry	racket	revel	whoop it up
ravish	enchant	delight	enthrall	transport
please	delight	enthrall	transport
enjoy	bask	savor	savour	relish
love	enjoy
taste	savor	savour
enter	put down	record	document
enter	put down	record	film
enter	put down	record	photograph
enter	put down	record	maintain
enter	put down	record	register
file	register
record	tape
enter	inscribe	recruit	draft	enlist	enroll	muster in
enter	inscribe	recruit	enroll	register
enter	figure
inscribe	autograph
inscribe	code	encrypt	write in code
recruit	levy
enumerate	recite	itemize
escape	elude
run	run away	escape	scat	break away	bunk	fly the coop	turn tail
examine	probe	investigate
examine	study	analyse	investigate	analyze	canvas	canvass
look into	experiment	investigate
study	major
examine	see
examine	test	try	essay	prove	try out
test	screen
quiz	test
sort	screen	screen out	sieve
screen	block out
mask	block out
riddle	screen
shield	screen
excite	stimulate	shake	stir	shake up	enliven	exalt	inspire	invigorate
exhibit	parade	march
troop	promenade	parade
exit	die	pass	choke	drop dead	buy the farm	croak	decease	expire	kick the bucket	pass away	perish	pop off	snuff it
explain	excuse
explode	detonate	set off	blow up
exploit	work
exploit	overwork
expose	compromise	endanger	peril	queer
extend	widen	broaden
extend	reach out	poke out
unfold	extend	stretch	stretch out
stretch	elongate
extract	distill
extract	press out	express
extract	draw out	elicit	evoke
suck out	draw out
face	face up	confront
face	breast	confront	front
face	confront	oppose	pit	play off
fall	decrease	diminish	ease off	ease up	flag	lessen	slacken off
fall	decrease	boil down	concentrate	diminish	lessen
fall	decrease	contract	diminish	lessen	shrink
fall	decrease	decline	diminish	go down	lessen	wane
fall	fall down
hang	fall	flow
